sampleID,phenotype,value,ref_genome,settings,pheno,region,gc_bias,settings_verbose,trimming,genome
LP0025_02_L004,healthy_control,-0.048780642,0memhg19decoy,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_02_L004,healthy_control,-0.051631081,30memhg19decoy,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Trimmed,hg19decoy
LP0025_02_L004,healthy_control,-0.045678033,30memhg19decoy,False40,Healthy,SAEC,GC bias not corrected,Lenient,Trimmed,hg19decoy
LP0025_02_L004,healthy_control,-0.044881929,30memhg19,False40,Healthy,SAEC,GC bias not corrected,Lenient,Trimmed,hg19
LP0025_03_L003,healthy_control,-0.019564525,30memhg19,False40,Healthy,SAEC,GC bias not corrected,Lenient,Trimmed,hg19
LP0025_03_L003,healthy_control,-0.016215315,0memhg19,False40,Healthy,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_03_L003,healthy_control,-0.027976389,0memhg19decoy,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Untrimmed,hg19decoy
LP0025_03_L003,healthy_control,-0.031193922,0memhg19,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Untrimmed,hg19
LP0025_03_L003,healthy_control,-0.013726006,0memhg19,True40,Healthy,SAEC,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_03_L003,healthy_control,-0.017880898,0memhg19decoy,False40,Healthy,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_03_L003,healthy_control,-0.034982253,30memhg19decoy,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Trimmed,hg19decoy
LP0025_03_L003,healthy_control,-0.028347849,30memhg19decoy,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Trimmed,hg19decoy
LP0025_03_L003,healthy_control,-0.02199294,30memhg19decoy,True40,Healthy,SAEC,GC bias corrected,Lenient,Trimmed,hg19decoy
LP0025_03_L003,healthy_control,-0.034198671,0memhg19decoy,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_03_L003,healthy_control,-0.017139038,0memhg19decoy,True40,Healthy,SAEC,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_03_L003,healthy_control,-0.014226232,30memhg19decoy,False40,Healthy,SAEC,GC bias not corrected,Lenient,Trimmed,hg19decoy
LP0025_03_L003,healthy_control,-0.030364039,30memhg19,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Trimmed,hg19
LP0025_03_L003,healthy_control,-0.033621732,30memhg19,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Trimmed,hg19
LP0025_03_L003,healthy_control,-0.015549582,30memhg19,True40,Healthy,SAEC,GC bias corrected,Lenient,Trimmed,hg19
LP0025_03_L003,healthy_control,-0.035408108,0memhg19,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_04_L004,healthy_control,0.0059239,0memhg19decoy,False40,Healthy,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_04_L004,healthy_control,0.006784024,0memhg19,True40,Healthy,SAEC,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_04_L004,healthy_control,0.007386335,30memhg19,False40,Healthy,SAEC,GC bias not corrected,Lenient,Trimmed,hg19
LP0025_04_L004,healthy_control,0.007729439,30memhg19decoy,True40,Healthy,SAEC,GC bias corrected,Lenient,Trimmed,hg19decoy
LP0025_04_L004,healthy_control,0.003717533,0memhg19decoy,True40,Healthy,SAEC,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_04_L004,healthy_control,-0.004328919,0memhg19,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_04_L004,healthy_control,-0.00440435,0memhg19decoy,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_04_L004,healthy_control,-0.003659727,0memhg19decoy,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Untrimmed,hg19decoy
LP0025_04_L004,healthy_control,0.006558812,0memhg19,False40,Healthy,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_04_L004,healthy_control,-0.001945933,30memhg19decoy,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Trimmed,hg19decoy
LP0025_04_L004,healthy_control,0.006370095,30memhg19decoy,False40,Healthy,SAEC,GC bias not corrected,Lenient,Trimmed,hg19decoy
LP0025_04_L004,healthy_control,-0.004656342,0memhg19,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Untrimmed,hg19
LP0025_04_L004,healthy_control,0.003344881,30memhg19,True40,Healthy,SAEC,GC bias corrected,Lenient,Trimmed,hg19
LP0025_04_L004,healthy_control,-0.001695337,30memhg19,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Trimmed,hg19
LP0025_04_L004,healthy_control,-0.005677806,30memhg19decoy,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Trimmed,hg19decoy
LP0025_04_L004,healthy_control,-0.001699384,30memhg19,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Trimmed,hg19
LP0025_05_L003,lung_cancer,-0.028670338,0memhg19decoy,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Untrimmed,hg19decoy
LP0025_05_L003,lung_cancer,-0.016125357,0memhg19,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_05_L003,lung_cancer,-0.016376946,0memhg19decoy,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_05_L003,lung_cancer,-0.031518214,30memhg19decoy,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Trimmed,hg19decoy
LP0025_05_L003,lung_cancer,-0.024286867,30memhg19,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Trimmed,hg19
LP0025_05_L003,lung_cancer,-0.020286431,0memhg19,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_05_L003,lung_cancer,-0.033390673,30memhg19,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Trimmed,hg19
LP0025_05_L003,lung_cancer,-0.027485385,30memhg19decoy,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Trimmed,hg19decoy
LP0025_05_L003,lung_cancer,-0.024275445,0memhg19,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Untrimmed,hg19
LP0025_05_L003,lung_cancer,-0.01661751,0memhg19,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_05_L003,lung_cancer,-0.027020036,30memhg19,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Trimmed,hg19
LP0025_05_L003,lung_cancer,-0.040700097,30memhg19decoy,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Trimmed,hg19decoy
LP0025_05_L003,lung_cancer,-0.028224393,30memhg19decoy,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Trimmed,hg19decoy
LP0025_05_L003,lung_cancer,-0.029177681,30memhg19,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Trimmed,hg19
LP0025_05_L003,lung_cancer,-0.024446233,0memhg19decoy,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_05_L003,lung_cancer,-0.018930378,0memhg19decoy,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_06_L003,lung_cancer,-0.025877527,30memhg19decoy,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Trimmed,hg19decoy
LP0025_06_L003,lung_cancer,-0.036152231,30memhg19,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Trimmed,hg19
LP0025_06_L003,lung_cancer,-0.026789478,0memhg19decoy,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_06_L003,lung_cancer,-0.03468325,0memhg19decoy,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_06_L003,lung_cancer,-0.027559128,0memhg19,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_06_L003,lung_cancer,-0.034490073,30memhg19,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Trimmed,hg19
LP0025_06_L003,lung_cancer,-0.020202754,30memhg19,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Trimmed,hg19
LP0025_06_L003,lung_cancer,-0.040369129,0memhg19,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_06_L003,lung_cancer,-0.024814625,0memhg19decoy,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_06_L003,lung_cancer,-0.027385919,30memhg19decoy,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Trimmed,hg19decoy
LP0025_06_L003,lung_cancer,-0.039646282,0memhg19,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Untrimmed,hg19
LP0025_06_L003,lung_cancer,-0.026755919,0memhg19,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_06_L003,lung_cancer,-0.026664651,30memhg19,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Trimmed,hg19
LP0025_06_L003,lung_cancer,-0.039435934,30memhg19decoy,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Trimmed,hg19decoy
LP0025_06_L003,lung_cancer,-0.028137215,0memhg19decoy,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Untrimmed,hg19decoy
LP0025_06_L003,lung_cancer,-0.040585133,30memhg19decoy,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Trimmed,hg19decoy
LP0025_07_L004,healthy_control,-0.022900973,30memhg19,True40,Healthy,SAEC,GC bias corrected,Lenient,Trimmed,hg19
LP0025_07_L004,healthy_control,-0.026401365,0memhg19decoy,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_07_L004,healthy_control,-0.026670059,30memhg19decoy,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Trimmed,hg19decoy
LP0025_07_L004,healthy_control,-0.020059486,30memhg19,False40,Healthy,SAEC,GC bias not corrected,Lenient,Trimmed,hg19
LP0025_07_L004,healthy_control,-0.027339906,30memhg19decoy,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Trimmed,hg19decoy
LP0025_07_L004,healthy_control,-0.020843038,0memhg19decoy,False40,Healthy,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_07_L004,healthy_control,-0.021772802,0memhg19,True40,Healthy,SAEC,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_07_L004,healthy_control,-0.02622577,30memhg19,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Trimmed,hg19
LP0025_07_L004,healthy_control,-0.027220819,30memhg19,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Trimmed,hg19
LP0025_07_L004,healthy_control,-0.020759017,0memhg19,False40,Healthy,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_07_L004,healthy_control,-0.027493814,0memhg19,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_07_L004,healthy_control,-0.022550414,30memhg19decoy,True40,Healthy,SAEC,GC bias corrected,Lenient,Trimmed,hg19decoy
LP0025_07_L004,healthy_control,-0.026974907,0memhg19decoy,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Untrimmed,hg19decoy
LP0025_07_L004,healthy_control,-0.018967759,30memhg19decoy,False40,Healthy,SAEC,GC bias not corrected,Lenient,Trimmed,hg19decoy
LP0025_07_L004,healthy_control,-0.018885667,0memhg19decoy,True40,Healthy,SAEC,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_07_L004,healthy_control,-0.02819857,0memhg19,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Untrimmed,hg19
LP0025_08_L004,healthy_control,-0.058536361,30memhg19decoy,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Trimmed,hg19decoy
LP0025_08_L004,healthy_control,-0.060431474,0memhg19decoy,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Untrimmed,hg19decoy
LP0025_08_L004,healthy_control,-0.061389628,0memhg19,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Untrimmed,hg19
LP0025_08_L004,healthy_control,-0.049879819,0memhg19decoy,False40,Healthy,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_08_L004,healthy_control,-0.04905137,0memhg19,False40,Healthy,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_08_L004,healthy_control,-0.048240501,30memhg19decoy,False40,Healthy,SAEC,GC bias not corrected,Lenient,Trimmed,hg19decoy
LP0025_08_L004,healthy_control,-0.059999291,30memhg19,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Trimmed,hg19
LP0025_08_L004,healthy_control,-0.062639863,30memhg19,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Trimmed,hg19
LP0025_08_L004,healthy_control,-0.058849498,0memhg19decoy,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_08_L004,healthy_control,-0.052662814,30memhg19,True40,Healthy,SAEC,GC bias corrected,Lenient,Trimmed,hg19
LP0025_08_L004,healthy_control,-0.05414323,30memhg19decoy,True40,Healthy,SAEC,GC bias corrected,Lenient,Trimmed,hg19decoy
LP0025_08_L004,healthy_control,-0.061925492,30memhg19decoy,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Trimmed,hg19decoy
LP0025_08_L004,healthy_control,-0.052383897,0memhg19,True40,Healthy,SAEC,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_08_L004,healthy_control,-0.049466108,30memhg19,False40,Healthy,SAEC,GC bias not corrected,Lenient,Trimmed,hg19
LP0025_08_L004,healthy_control,-0.060685975,0memhg19,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_08_L004,healthy_control,-0.052564902,0memhg19decoy,True40,Healthy,SAEC,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_10_L003,lung_cancer,0.145271938,30memhg19decoy,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Trimmed,hg19decoy
LP0025_10_L003,lung_cancer,0.153101649,0memhg19,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_10_L003,lung_cancer,0.155836071,0memhg19decoy,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_10_L003,lung_cancer,0.146694028,0memhg19,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_10_L003,lung_cancer,0.148604725,0memhg19decoy,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_10_L003,lung_cancer,0.159909806,30memhg19,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Trimmed,hg19
LP0025_10_L003,lung_cancer,0.161628937,30memhg19decoy,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Trimmed,hg19decoy
LP0025_10_L003,lung_cancer,0.147539923,30memhg19,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Trimmed,hg19
LP0025_10_L003,lung_cancer,0.159703586,30memhg19decoy,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Trimmed,hg19decoy
LP0025_10_L003,lung_cancer,0.146463238,30memhg19,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Trimmed,hg19
LP0025_10_L003,lung_cancer,0.15491727,30memhg19,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Trimmed,hg19
LP0025_10_L003,lung_cancer,0.156874304,0memhg19decoy,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_10_L003,lung_cancer,0.154621063,0memhg19decoy,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Untrimmed,hg19decoy
LP0025_10_L003,lung_cancer,0.145546947,30memhg19decoy,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Trimmed,hg19decoy
LP0025_10_L003,lung_cancer,0.161550663,0memhg19,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_10_L003,lung_cancer,0.150990654,0memhg19,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Untrimmed,hg19
LP0025_11_L003,lung_cancer,0.013665083,0memhg19,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_11_L003,lung_cancer,0.016813183,30memhg19,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Trimmed,hg19
LP0025_11_L003,lung_cancer,0.021372506,30memhg19decoy,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Trimmed,hg19decoy
LP0025_11_L003,lung_cancer,0.021484384,30memhg19,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Trimmed,hg19
LP0025_11_L003,lung_cancer,0.019580735,0memhg19decoy,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_11_L003,lung_cancer,0.012316058,0memhg19decoy,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_11_L003,lung_cancer,0.02072568,0memhg19,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_11_L003,lung_cancer,0.016279943,30memhg19,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Trimmed,hg19
LP0025_11_L003,lung_cancer,0.022673773,30memhg19decoy,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Trimmed,hg19decoy
LP0025_11_L003,lung_cancer,0.011865184,30memhg19decoy,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Trimmed,hg19decoy
LP0025_11_L003,lung_cancer,0.014322624,0memhg19decoy,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Untrimmed,hg19decoy
LP0025_11_L003,lung_cancer,0.023141581,30memhg19,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Trimmed,hg19
LP0025_11_L003,lung_cancer,0.021276471,0memhg19decoy,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_11_L003,lung_cancer,0.023638479,0memhg19,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_11_L003,lung_cancer,0.0119284,30memhg19decoy,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Trimmed,hg19decoy
LP0025_11_L003,lung_cancer,0.012521749,0memhg19,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Untrimmed,hg19
LP0025_12_L003,lung_cancer,-0.008938029,0memhg19decoy,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_12_L003,lung_cancer,-0.010013198,0memhg19,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Untrimmed,hg19
LP0025_12_L003,lung_cancer,-0.011090414,30memhg19decoy,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Trimmed,hg19decoy
LP0025_12_L003,lung_cancer,-0.009526012,0memhg19,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_12_L003,lung_cancer,-0.008436497,0memhg19,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_12_L003,lung_cancer,-0.009019628,30memhg19,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Trimmed,hg19
LP0025_12_L003,lung_cancer,-0.006140356,0memhg19decoy,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Untrimmed,hg19decoy
LP0025_12_L003,lung_cancer,-0.012586161,30memhg19,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Trimmed,hg19
LP0025_12_L003,lung_cancer,-0.015707462,30memhg19decoy,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Trimmed,hg19decoy
LP0025_12_L003,lung_cancer,-0.015826409,30memhg19decoy,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Trimmed,hg19decoy
LP0025_12_L003,lung_cancer,-0.011893063,30memhg19,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Trimmed,hg19
LP0025_12_L003,lung_cancer,-0.005838054,0memhg19decoy,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_12_L003,lung_cancer,-0.009338536,0memhg19,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_12_L003,lung_cancer,-0.015668619,30memhg19,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Trimmed,hg19
LP0025_12_L003,lung_cancer,-0.010227805,30memhg19decoy,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Trimmed,hg19decoy
LP0025_12_L003,lung_cancer,-0.007314133,0memhg19decoy,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_15_L003,lung_cancer,0.042380062,0memhg19decoy,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_15_L003,lung_cancer,0.034220093,30memhg19decoy,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Trimmed,hg19decoy
LP0025_15_L003,lung_cancer,0.040739694,30memhg19,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Trimmed,hg19
LP0025_15_L003,lung_cancer,0.037774388,0memhg19,TrueDI26830XA,Lung cancer,SAEC,GC bias corrected,Strict,Untrimmed,hg19
LP0025_15_L003,lung_cancer,0.035628555,0memhg19,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_15_L003,lung_cancer,0.036032654,30memhg19,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Trimmed,hg19
LP0025_15_L003,lung_cancer,0.036561899,30memhg19decoy,FalseDI26830XA,Lung cancer,SAEC,GC bias not corrected,Strict,Trimmed,hg19decoy
LP0025_15_L003,lung_cancer,0.043609055,30memhg19decoy,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Trimmed,hg19decoy
LP0025_15_L003,lung_cancer,0.040306743,0memhg19,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_15_L003,lung_cancer,0.044583464,30memhg19,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Trimmed,hg19
LP0025_15_L003,lung_cancer,0.042663863,30memhg19,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Trimmed,hg19
LP0025_15_L003,lung_cancer,0.043764489,0memhg19decoy,True40,Lung cancer,SAEC,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_15_L003,lung_cancer,0.042579746,0memhg19,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_15_L003,lung_cancer,0.043769279,30memhg19decoy,False40,Lung cancer,SAEC,GC bias not corrected,Lenient,Trimmed,hg19decoy
